Name,Other Names
Brevis Birch,
Dennis Bishop,
Bellatrix Lestrange,"bella, bella"
Belvina Black,
Callidora Black,
Cassiopeia Black,
Charis Black,
Cygnus Black,
Iola Black,
Marius Black,
Orion Black,
Phineas Black,
Pollux Black,
Dorea Black Potter,
Regulus Black,rab
Sirius Black,"snuffles, padfoot"
Cedrella Black Weasley,
Blagdon Blay,
Blaise Zabini,
Blaise Zabini's mother,
Susan Blancheflower,
Balfour Blane,
Blenheim Stalk,
Barnabus Blenkinsop,
Timothy Blenkinsop,
Bletchley,
Miles Bletchley,
Jean-Baptiste Bloncourt,
The Bloody Baron,your bloodiness
Blodwyn Bludd,vampire from the valleys
Bludgeoning Boggart of Old London Town,
"Bob, Bill, and Barnaby Ollerton",
Melinda Bobbin,
Bob Hitchens,
Bob Ogden,
Broderick Bode,
Old Boggle of Canterbury,
Bogomil Levski,
Bogrod,
Sylvian Boigny,
Bole,
Hector Bolobolo,
Bonawentura Wójcik,
. and . Bones,
Susan Bones,
Madame Bonhabille,
Brother Boniface,
. Boot,
. Boot,
Chadwick Boot,
Gladys Boothby,
Webster Boot,
Libatius Borage,
. Borgin,
Boris the Bewildered,
Boris Vulchanov,
Craig Bowker Jr.,
Bowman Wright,
Bozo,
Bradley,
Barberus Bragge,
Bragging Young Wizard,
Betty Braithwaite,
Bran the Bloodthirsty,
Rudolf Brand,
Maximus Brankovitch III,
Brian Gadwilde,
Bridget Wenlock,
Bridget Wenlock's cousin,
Cormac O’Brien,
Karl and Kevin Broadmoor,
Brodrig the Boss-Eyed,
Lavender Brown,
Bruno Schmidt,
Brutus Malfoy,
Brutus Scrimgeour,
Bruno Bruunhart,
Buckbeak,"beaky, witherwings"
Buckley Cooper,
Zygmunt Budge,"greatest potionmaker ever born, the hermit of hermetray"
K. Bundy,
Bungy the Budgie,
Bunty,
Charity Burbage,
Burdock Muldoon,
Caractacus Burke,
Cadmus Peverell,
Cadwallader,
Calchas,
Lennox Campbell,
Cantankerus Nott,
S. Capper,
Caradoc Dearborn,
Carlos Lopez,
Carlotta Pinkstone,
Eddie Carmichael,
Rancorous Carpe,
Caspar Crouch,
Cassandra Trelawney,
Cassandra Vablatsky,
Catriona McCormack,
Reginald Cattermole,reg
Catullus Spangle,
Cecilia,
Cecily,
Cedric Diggory,
Celestina Warbeck,the singing sorceress
Chambers,
Cho Chang,
Polly Chapman,
Charity Wilkinson,
Charlie Weasley,
Charlus Potter,
Chauncey Oldridge,
Glenda Chittock,
Herbert Chorley,
Winston Churchill,
Ciceron Harkiss,
Circe,
Elfrida Clagg,
Clairvius Hyppolite,
Clarisse Tremblay,
Ptolemy,
Penelope Clearwater,penny
Cliodna,
Carlos Clodoaldo,
Edgar Cloggs,
João Coelho,
. Cole,
Colin Creevey,
Colonel Fubster,
Magenta Comstock,
Connolly,
Howland Coopey,
Ritchie Coote,
Corban Yaxley,
Cordelia Misericordia,
Cormack McLeod,
Cormac McLaggen,
Cornelius Fudge,
Michael Corner,
Corvinus Gaunt,
Corvus Lestrange Jr.,
Corvus Lestrange Sr.,
Gregory Cotton,
Count Vlad Drakul,
Crabbe Sr.,
Ellen Cracknell,
Elfrida Cragg,
. Creevey,
. Cresswell,
Dirk Cresswell,
Cresswell sons,
Venusia Crickerly,
Delfina Crimp,
Professor Saul Croaker,
Doris Crockford,
Crispin Cronk,
Glinda Crook,
Crookshanks,
. Crouch,
Maximillian Crowdy,
Cuthbert Mockridge,
Cyclops,
Cyprian Youdle,
Dagbert Pips,
Hector Dagworth-Granger,
Dangerous Dai Llewellyn,
Daisy Dodderidge,
Daisy Hookum,
Daisy Pennifold,
Damocles Belby,
Damocles Rowle,
Daphne Greengrass,
Darius Smackhammer,
Darren Floyd,
Darren O'Hare,
Davey Gudgeon,
Roger Davies,
John Dawlish,
Dean Thomas,
Dedalus Diggle,
Fleur Delacour,phlegm
Sir Patrick Delaney-Podmore,
Lisette de Lapin,
Delphi,the augurey
Demelza Robins,
Demetrius J. Prod,
Nearly-Headless Nick,
Dempster Wiggleswade,
Dennis Creevey,
Dennis Moon,
Derek,
Derrick,
Dilys Derwent,
Derwent Shimpling,
Philbert Deverill,
Devlin Whitehorn,
Dexter Fortescue,
Diadema (Goshawk?),
Fernando Diaz,
. Diggory,
Delphini Diggory,delphi
Eldritch Diggory,
Dimitrov,
Harold Dingle,
Emma Dobbs,
Dobby,
Dodgy Dirk,
Elphias Doge,
Dolores Umbridge,
Dominique Weasley,
Donaghan Tremlett,
Dorcas Meadowes,
Dorcus Twelvetrees,
Dorcas Wellbeloved,
Doris Purkiss,
Ragmar Dorkins,
J. Dorny,
Dot,
Dougal,
Dougal McBride,
Dougal McGregor,
Distractible Douglas,dougie
Draco Malfoy,the amazing bouncing ferret
Dimitar Draganov,
Dragomir Despard,
Dragomir Gorgovitch,
Filibuster,
Dr. Ubbly,
Druella Rosier,
Dugald McPhail,
Irma Dugard,
Matilda Dukelow,
Kendra Dumbledore,
Percival Dumbledore,
Dunbar Oglethorpe,
B. Dunstan,
Priscilla Dupont,
Dudley Dursley,"dudders, a pig in a wig, big d, popkin, dinky duddydums, duddy, little tyke, ickle diddykins, my neffypoo, sweetums, dud, a baby angel"
Petunia Dursley,tuney
Vernon Dursley,
Dylan Marwood,
Dymphna Furmage,
Dzou Yen,
Eargit the Ugly,
Earl of Paunchley,
Lorcan d'Eath,
Heinrich Eberstadt,
Edgar Bones,
Edgar Stroulger,
Marietta Edgecombe,
Edmund Gaddlegate,
Teddy Lupin,
Ted Tonks,
Egbert the Egregious,
Eglantine Puffett,
Egmont Elvert Hobday,
Eileen Prince Snape,
Ekrizdis,
Eldon Elsrickle,the spectral thief of old london town
Eldred Worple,
Eleanor Branstone,
Elfric the Eager,
Eliana,
Elias Grimstone,
Elias Story,
Elizabeth McGilliguddy,
Elizabeth Smudgling,
Queen Elizabeth I,
Elveira Elkins,
Elladora Black,
Elladora Black,
Elladora Guffy,
Elladora Ketteridge,
Ellerby,
Ellie Cattermole,
Elliot Smethwyck,
Elodie Dembélé,
Eloise Midgen/Eloise Midgeon,
Elphinstone Urquart,
Elsie,
Elsie Prod,
Emeric the Evil,
Emeric Switch,
Emily Rappaport,
Emmeline Vance,
Enid Smeek,
Samuel Equiano,
Erica Stainwright,
Eric Munch,
Eric Whalley,
Ernie Macmillan,
Ernie Prang,ern
Errol,
. Esposito,
Ethelbald Mordaunt,
Ethelred the Ever-Ready,
Eugenia Jenkins,
Eulalie Hicks,
Eunice Murray,
Euphemia Potter,
Euphemia Rowle,
Eupraxia Mole,
Eurig Cadwallader,
Evangeline Orpington,
Evan Rosier,
. Evans,
. Evans,
Everard,
Fabian Prewett,
Fabius Watkins,
Falco Aesalon,
Perpetua Fancourt,
Fang,
"Faris ""Spout-hole"" Spavin",
Gemma Farley,
The Fat Friar,
The Fat Lady,
Franziska Faust,
S. Fawcett,
Fawkes,
Hector Fawley,
Felix Summerbee,
Fenrir Greyback,
Mervyn Fenwick,
Ferdinand Jägendorf,
Fergus,
Fifi LaFolle,
Finbar Quigley,
Finch-Fletchley,
. Finch-Fletchley,
Fingal the Fearless,
Finn,
. Finnigan,
. Finnigan,
Seamus Finnigan,
Firenze,
Wilhelm Fischer,
O'Flaherty,
Ortiz O'Flaherty,
Nicolas Flamel,
Perenelle Flamel,
Flavius Belby,
Fleamont Potter,
Fleetwood,
Hedley Fleetwood,
Able Fleming,
Mundungus Fletcher,dung
Laurentia Fletwock,
Josephina Flint,
Marcus Flint,
Filius Flitwick,
Florean Fortescue,
Florence,
Gonçalo Flores,
Fluffy,
Flurry,
Theodard Fontaine,
Frank Bryce,
Frank Longbottom,
Fred Weasley,
Otmar Frick,the rugged man of ruggell
Fridwulfa,
Fudge,
Rufus Fudge,
Fulbert the Fearful,
Gabrielle Delacour,
Gabriel Truman,
Galatea Merrythought,
Ottaline Gambol,
Ulick Gamp,
Garrick Ollivander,
Garvin Lünger,
Gaspard Shingleton,
Marvolo Gaunt,
Merope Gaunt,
Morfin Gaunt,
Gawain Robards,
Geoffrey Hooper,
George Weasley,
Georgina Smyth,
Georgios Xenakis,
Georgi Zdravko,
Geraint Ollivander,
Gerbold Octavius Ollivander,
Gerda Curd,
Gertie Keddle,
Gervaise Ollivander,
Ghosts of gloomy nuns,
Gibbon,
Gideon Crumb,
Gideon Flatworthy,
Gideon Prewett,
Gifford Ollerton,
Gilbert Wimple,
Gilderoy Lockhart,
Ginny Weasley,
Glanmore Peakes,
Glover Hipworth,
Gnarlak,
Godelot,
Queenie Goldstein,
Golgomath,
Goliath,
Golpalott,
Gondoline Oliphant,
Goodwin Kneen,
Gordon,
Hesphaestus Gore,
Gormlaith Gaunt,william sayre
Gornuk,
Miranda Goshawk,
Romilda,
Tangwystl (Goshawk?),
Goyle Sr.,
Graham Pritchard,
. Granger,wendell wilkins
. Granger,
Hermione Granger,
Hugo Granger-Weasley,
Rose Granger-Weasley,
Granville Jorkins,
Gondulphus Graves,
Merton Graves,
Percival Graves,
Grawp,
Great Auntie Enid,
The Great Humberto,
Great Uncle Algie,
Greek chappie,
Gregorovitch,
Gregory Goyle,
Gregory the Smarmy,
Greta Catchlove,
The Grey Lady,
Glynnis Griffiths,
Wilda Griffiths,
Grimmson,
Robert Grimsditch,
Grimwold Jorkins,
Gellert Grindelwald,
Gringott,
Griphook,
Griselda Harmonia Jorkins,
Griselda Marchbanks,
Grizel Hurtz,
Grogan Stump,
Stoyanka Grozda,
Wilhelmina Grubbly-Plank,
grubby-looking wizard,
Grugwyn Rufford,
Godric Gryffindor,
Malodora Grymm,
Galvin Gudgeon,
Gladys Gudgeon,
Zamira Gulch,
Gulliver Pokeby,
Gunhilda of Gorsemoor,
Gunhilda Kneen,
Gurg,
Guthrie Lochrin,
Gwendolyn Morgan,
Gwenog,
Gwenog Jones,
Hagrid's father,
Hambledon Quince,
Hamish MacFarlan,
Hankerton Humble,
Hannah Cockleford,
Hans the Augurey,
"Hardwin, son of Linfred of Stinchcombe",
Harfang Longbottom,
Harfang Munter,
Harold Minchum,
Harold Skively,
Harper,
Harry Potter,"the boy who lived, undesirable number one, the chosen one, parry otter, the chosen boy, the mudbloods friend"
Harvey Ridgebit,
Hassan Mostafa,
Havelock Sweeting,
Hector Lamont,
Hedwig,
Helena Ravenclaw,
Heliotrope Willis,
Helixa Hyslop,
Helmut Weiss,
Hengist of Upper Barnton,
Hengist of Woodcroft,
Henry,
King Henry VI,
Henry Shaw Jr.,
Henry Shaw,
Hepzibah Smith,
Herbert Burke,
Helbert Spleen,
Hereward,
Herman Junker,
Herman Wintringham,
Hermes,
Herpo the Foul,
Hesper Gamp,
Hesper Starkey,
Hestia Jones,
Hetty Bayliss,
Shanice Higgins,
Hippocrates Smethwyck,
Hilliard Hobday,
Violetta Hobday,
Hodrod the Horny-Handed,
Hokey,
Honest Willy Wagstaff,
Masaki Hongo,
Honoria,
Honoria Nutcombe,
Madam Hooch,
Mafalda Hopkirk,
Hoppy,
Kevin Hopwood,
Horace Slughorn,sluggy
Olive Hornby,
Hortensia Milliphutt,
Hope Howell Lupin,
Helga Hufflepuff,
Royston Idlewind,
Idris Oakby,
Iefan Rice,
Ignatia Wildsmith,
Ignatius Prewett,
Ignatius Tuft,
Ignotus Peverell,
Igor Karkaroff,
Illyius,
Ingolfr the Iambic,
Inigo Imago,
Iolanthe Peverell,
Irene Kneedander,
Irish Leprechauns,
Irma Crabbe,
Irma Pince,
Irving Warble,
Isadora Rose,
Isobel McGonagall,
Isobel Ross,
Isolt Sayre,"morrigan, elias story"
Ivanova,
Ivan Popa,
Ivor Dillonsby,
Jack Sloper,
Josiah Jackson,
Jacob Kowalski,
Jacques Miskine,
James Potter,prongs
James Sirius Potter,
James Steward,
Janus Thickey,
Jarleth Hobart,
Mary Jauncey,
Jazz singer,
Karl Jenkins,
Jackie Jernigan,
Leonard Jewkes,
Jim McGuffin,
Jimmy Peakes,
Jocunda Sykes,
Joey Jenkins,
Johannes Jonker,
Sylvian Jolicoeur,
. Jordan,
Lee Jordan,river
Primrose Jorkins,
Stamford Jorkins,
Joscelind Wadcock,
Josefina Calderon,
Josef Wronski,
Joseph Snuka,
Joshua Sankara,
Josiah Plunkett,
Jugson,
Justin Finch-Fletchley,
Justus Pilliwickle,
Laurena Kama,
Karkus,
Karl Wang,
Roland Kegg,
Kenneth Towler,
Kennilworthy Whisp,
Silvanus Kettleburn,
Kevin,
Kevin Entwhistle,
Kevin's parents,
Kevin Whitby,
King Arthur,
King George III,
Kingsley Shacklebolt,
King William I,
Kirley Duke,
Porteus Knatchbull,
Quentin Kowalski,
Krafft,
Krall,
Kreacher,
Sigrid Kristoffersen,
. Krum,
. Krum,
Viktor Krum,vicky
Kimiko Kurosawa,
Lachlan the Lanky,
Ladislaw Zamojski,
Lady Carmilla Sanguina,
Lady Grieve,
Stubby Lamont,
Lancelot,
Landislaw Zamojski,
Langdon Shaw,
Laura Madley,
Laverne de Montmorency,
Nobby Leach,
Leanne,
Lenelle Paraison,
Leonard Spencer-Moon,
Leopoldina Smethwyk,
Leta Lestrange,
Radolphus Lestrange,
Leticia Somnolens,
Levina Monkstanley,
Levski,
Lilith Molesby,
Lily Moon,
Lily Potter,
Lily Luna Potter,
Linfred of Stinchcombe,the potterer
Lisa Turpin,
Sue Li,
Livius,
Neville Longbottom,
Lorcan McLaird,
Lorcan Scamander,
Lord North,
Lord Palmerston,
Lord Stoddard Withers,
Lord Voldemort,"tom riddle, tom, tom marvolo riddle, hewhomustnotbenamed, youknowwho"
Louis Weasley,
Luna Lovegood,loony
Loxias,
Lucas Picquery,
Luciano Volpi,
Lucius Malfoy,my slippery friend
Luc Millefeuille,
Lucretia Black,
Lucy Weasley,
Lars Lundekvam,
Remus Lupin,moony
Lyall Lupin,
Lycoris Black,
Lysander Scamander,
Lysandra Yaxley,
Morag Macdougal,
Macduff,
Mungo MacDuff,
MacFusty clan,
Walden Macnair,
Torquil MacTavish,
Madam Edgecombe,
Madam Eloise Mintumble,
Madam Marsh,
Madam Z. Nettles,
Madam Primpernelle,
Madam Puddifoot,
Madam Rosmerta,
Madam Ya Zhou,
Queen Maeve,
Mafalda,
"Magnus ""Dent Head"" Macdonald",
Magorian,
Maisie Cattermole,
Malcolm,
Malcolm Baddock,
Malcolm McGonagall,
Malécrit,
Narcissa Malfoy,"cissy,  cissy"
Nicholas Malfoy,
Scorpius Malfoy,"bread head, scorpion king"
Septimus Malfoy,
Madam Malkin,
Mallory Twiddle,
Roger Malone,
Mandy Brocklehurst,
Marcus Belby,
Marius,
Mark Evans,
Marlene McKinnon,
Marlow,
"Martha, mother of James Steward",
Martha Sayre Steward's husband,
Martha Steward,
Martin Miggs,
Mary Dorkins,
Mary Elizabeth Cattermole,
Mary MacDonald,
. and . Mason,
Mauler,
Olympe Maxime,
McClivert Clan,
Meaghan McCormack,
Natalie McDonald,
Minerva McGonagall,
"Robert McGonagall, The Reverend",
Quintia McQuoid,
Tarquin McTavish,
Megan Jones,
Melania Macmillan,
Melusine,
Mercy Ojukwu,
Mercy Wardwell,
Merlin,prince of enchanters
Merwyn the Malicious,
Mentor Metaxas,
Millicent Bulstrode,
Milly,
Minette Lestrange,
Mirabella Plunkett,
Miranda Goshawk,
Miriam Strout,
Mnemone Radford,
Modesty Rabnott,
Molly Weasley,
Momolou Wotorson,
Monica Wilkins,
Monsieur Delacour,
. and . Montague,
Montague,
Montague Knightly,
Montgomery sisters,
Regulus Moonshine,
Mopsus,
Mopsus,
Mopsy Fleabert,
Moran,
Morgan,
Morgana / Morgan le Fay,
Valmai Morgan,
Morholt,
Morrigan,
Mortlake,
Mosag,
Old Mother Hubbard,
Mulciber,
Mullet,
Zacharias Mumps,
Mungo Bonham,
Murcus,
Musidora Barkwith,
Mustafa Kama,
Mylor Sylvanus,
Myron Otherhaus,
Myron Wagtail,
Moaning Myrtle,
Nagel,
Nagini,
Nagnok,
Narinder Singh,
Niko Nenad,
Nerida Vulchanova,
Neville's Grandad,
Newt Scamander,
Newt Scamander's mother,
Ngapo Ponika,
Phineas Nigellus Black,
Nikola Vassileva,
Norbert/Norberta,
Noriko Sato,
. Norris,
Norvel Twonk,
Nott,
Theodore Nott,
Günther the Violent,
Nugent Potts,
Nymphadora Tonks,dora
Oakden Hobday,
Otto Obermeier,
. Oblansk,
Octavius Pepper,
Winkus Oddpick,
Oddvar Spillum,
Odo the Hero,
Ogden,
Tiberius Ogden,
Ogg,
Olaf,
Olive Hornby's brother,
Oliver Rivers,
Oliver Wood,
Oliver Wood's parents,
Oona,
Orabella Nuttley,
Orford Umbridge,
Orla Quirke,
Orsino Thruston,
Unctuous Osbert,
Oswald Beamish,
Owen Cauldwell,
Pandora Lovegood,
Panju Weasley,
Pansy Parkinson,
Paracelsus,
Perseus Parkinson,
Walter Parkin,
. and . Patil,
Padma Patil,
Parvati Patil,
Patricia Stimpson,
Patrick,
Randolph Pauncefoot,
. Paws,
. Payne,
Peeves,
Pennyfeather,
Phoebus Penrose,
Percy Weasley,weatherby
Perkins,
Sally-Anne Perks,
Petrova Porskoff,
Peter Pettigrew,"scabbers, wormtail, wormy"
Thorsten Pfeffer,
Phineas Fletcher,
Phyllida Spore,
Pickett,pick
Pierre Bonaccord,
Piers Polkiss,
Pigwidgeon,
Pinky,
Pius Thicknesse,
platform guard,
Yardley Platt,
Samuel Plunkett,
Royden Poke,
Poliakoff,
. Polkiss,
Pomona Sprout,
Poppy Pomfrey,
Quong Po,
Tina Goldstein,
Portkey Tout,
Prendergast,
. Prentice,
Pringle,
D.J. Prod,
. Prod,
Professor Mordicus Egg,
Quirinus Quirrell,
Professor Tofty,
Professor Vector,
Proudfoot,
Prudence,
Quintia Qarase,
Samuel G. Quahog,
Queenie Greengrass,
Queen Victoria,widow of windsor
Quentin Trimble,
Quigley,
Quintius Umfraville,
Quintus Harcourt,
Rabastan Lestrange,
Urquhart Rackharrow,
Raczidian,
Radolphus Pittiman,
Radulf,
Rafael Santos,
Ragnok the Pigeon-Toed,
Ragnuk the First,
Ralston Potter,
Randolph Keitch,
Randolph Spudmore,
Rapier,
Xavier Rastrick,
Rowena Ravenclaw,
Rawya Zaghloul,
Red,
Regulus Black,
. and . Riddle,
Rionach Sayre,
Rionach Steward,
Ripper,
Rita Skeeter,
River,
Robert Hilliard,
"Robert McGonagall, Jr.",
. Roberts,
. Roberts,
Roddy Pontner,
Rodent,
Roderick Plumpton,
Rodolphus Lestrange,
Rolf Scamander,
Romilda Vane,
Romulus,
Ron Weasley,"roonil wazlib, won won, wheezy"
Ronan,
Rosalind Antigone Bungs,
Rose Zeller,
Rowle,
Thorfinn Rowle,
Roxanne Weasley,
Royal,
Rubeus Hagrid,
Ruby,
Rudolph Spielman,
Rufus Scrimgeour,
Runcorn,
Rupert 'Axebanger' Brookstanton,
Rutherford Poke,
Ryuichi Yamaguchi,
Sacharissa Tugwood,
Sally Smith,
Sam,
Samson Wiblin,
Sanguini,
Selina Sapworthy,
Savage,
Sayre Family,
Scabior,
Theseus Scamander,
Scarpin,
Scrivenshaft,
Selwyn,
Septimus Weasley,
Seraphina Picquery,
Sgt. Fisher,
Shikoba Wolfe,
Shintaro Shingo,
Sidney Todd,
Tony Silva,
Silvio Astolfi,
Sir Cadogan,complete lunatic
Sir Herbert Varney,
Sir Luckless,
Skender,
. Skowers,
Wilbert Slinkhard,
Salazar Slytherin,
Zacharias Smith,
Severus Snape,"snivellus, the halfblood prince, sev"
Tobias Snape,
Snickerton,
Snowy,
Sophie Roper,
Sorting Hat,
Sparky,
Able Spudmore,
Stan Shunpike,
Stebbins,
Stephen Cornfoot,
St. Mungo,
Stubby Boardman,
Sturgis Podmore,
Sudanese Obscurial,
Su Li,
Summerby,
. Summers,
Summers,
Sybill Trelawney,
Symposia Rawle,
Syna Hyslop,
Tatting,
Tenebrus,
Terence Higgs,
Terry Boot,
Tertius,
Theophilus Abbott,
Thiago Quintana,
. and . Thomas,
Thornton Harkaway,
Thaddeus Thurkell,
. Tibbles,
Tiberius,
Violet Tillyman,
Tilly Toke,
Titus,
Todoroki,
Tilden Toots,the wizard with three green thumbs
Tracey Davis,
Travers,
Torquil Travers,
Trevor,
Trocar,
Troy,
Tuft Family,
Tufty,
twenty Ministry wizards,
Twilfitt,
Wilkie Twycross,
Ugga,
Ug the Unreliable,
Dolores Umbridge's brother,
Uncle Bilius,
Uncle Nobby,
Urg the Unclean,
Uric the Oddball,
Urquhart,
Ursula Flint,
Vaisey,
Valentina Vázquez,
Vargot,
Verity,
Vernon Dudley,
Veronica Smethley,
Vicky Frobisher,
Victoire Weasley,
Vincent Duc de Trefle-Picques,
Vincent Crabbe,
Vinda Rosier,
Violet,vi
Violetta Beauvais,
Violetta Bulstrode,
Vindictus Viridian,
Volkov,
Vulchanov,
Wailing Widow,
Yoshi Wakahisa,
Wakanda,
Walburga Black,
Wand-shine Elf,
Warrington,
Warty Harris,
Wayne Hopkins,
Webster Boot's wife,
Wendelin the Weird,
Wendell Wilkins,
Willi Wenzel,
Wilhelm Wigworthy,
Wilfred Elphick,
Wilfred the Wistful,
Wilhelmina Tuft,
Wilkes,
William,
William Sayre,
Williamson,
Willy Widdershins,
Winky,
Wladyslaw Wolfke,
Wool Woman,
Wyvern of Wye,
Xenophilius Lovegood,
Yann Fredericks,
Yusuf Kama,
Yvonne,whatshername
Zacharias Smith's father,
Zograf,
Zonko,
